Enzyme	Concentration
EfolD2_enzyme	5.1751607095334695e-06
EfolD3_enzyme	5.1751607095334695e-06
EyitJ_enzyme	5.852527456025986e-06
EmenF_enzyme	0.0
EmenD_enzyme	8.92700492644088e-09
EmenC_enzyme	8.92700492644088e-09
EmenE_enzyme	8.92700492644088e-09
EmenB_enzyme	8.92700492644088e-09
EytxM_enzyme	8.92700492644088e-09
EmenA_enzyme	8.92700492644088e-09
EmenH_enzyme	8.92700492644088e-09
Edxs_enzyme	7.358846087619882e-08
Edxr_enzyme	6.345277717767154e-08
EispD_enzyme	6.345277717767154e-08
EispE_enzyme	6.345277717767154e-08
EispF_enzyme	6.345277717767154e-08
EispG_enzyme	6.345277717767154e-08
EispH_enzyme	6.345277717767154e-08
Efni_enzyme	9.248252490636007e-09
EispA1_enzyme	9.248252490636007e-09
EispA2_enzyme	9.248252490636007e-09
EhepTS1_enzyme	8.92700492644088e-09
EhepTS2_enzyme	8.92700492644088e-09
EhepTS3_enzyme	8.92700492644088e-09
EhepTS4_enzyme	8.92700492644088e-09
EuppS_enzyme	0.0
EyubB_enzyme	0.0
EpanB_enzyme	8.927004926465314e-09
EpanE_enzyme	8.927004926465314e-09
EpanD_enzyme	8.927004926465314e-09
EpanC_enzyme	8.927004926465314e-09
EcoaX_enzyme	8.927004926465314e-09
EcoaBC1_enzyme	8.927004926465314e-09
EcoaBC2_enzyme	8.927004926465314e-09
EcoaD_enzyme	8.927004926465314e-09
EcoaE_enzyme	8.927004926465314e-09
EnadB_enzyme	5.150991698070169e-07
EnadA_enzyme	5.150991698070169e-07
EnadC_enzyme	5.150991698070169e-07
EnadD_enzyme	5.150991698070169e-07
EnadE_enzyme	5.150991698070169e-07
EnadF_enzyme	3.2732626594287546e-08
EpncB_enzyme	0.0
Eplp_enzyme	8.104087484449452e-09
EribAB1_enzyme	7.251033854703383e-09
EribAB2_enzyme	1.4502067709406766e-08
EribD1_enzyme	7.251033854703383e-09
EribD2_enzyme	7.251033854703383e-09
EribX_enzyme	7.251033854703383e-09
EribH_enzyme	1.4502067709406766e-08
EribE_enzyme	7.251033854703383e-09
EribC1_enzyme	7.251033854703383e-09
EribC2_enzyme	5.838456258470829e-09
EhemA_enzyme	1.3389129737177078e-08
EhemL_enzyme	1.3389129737177078e-08
EhemB_enzyme	6.694564868588539e-09
EhemC_enzyme	1.6736412171471348e-09
EhemD_enzyme	1.6736412171471348e-09
EhemE_enzyme	1.412632087385232e-09
EhemZ_enzyme	1.412632087385232e-09
EhemN_enzyme	0.0
EhemY_enzyme	1.412632087385232e-09
EhemH_enzyme	1.412632087385232e-09
EctaB_enzyme	3.212475641951277e-10
EctaA_enzyme	3.212475641951277e-10
EctaX1_enzyme	0.0
EctaX2_enzyme	0.0
Ecyt_enzyme	0.0
EsumT_enzyme	2.6100912976190285e-10
EnasF_enzyme	0.0
EsirB_enzyme	2.6100912976190285e-10
EsirC_enzyme	2.6100912976190285e-10
EthiS_enzyme	0.0
EthiF_enzyme	1.013568369852727e-08
EsufS_enzyme	1.013568369852727e-08
EthiG_enzyme	1.013568369852727e-08
Ethi1_enzyme	0
Ethi2_enzyme	0
Ethi3_enzyme	0
Ethi4_enzyme	0
EthiO_enzyme	1.013568369852727e-08
Ethi5_enzyme	0
EthiC_enzyme	1.013568369852727e-08
EthiD1_enzyme	1.013568369852727e-08
EthiD2_enzyme	1.013568369852727e-08
EthiE_enzyme	1.013568369852727e-08
EthiL_enzyme	1.013568369852727e-08
EthiN_enzyme	0.0
EbioI_enzyme	8.127778015985041e-10
EbioW_enzyme	8.127778015985041e-10
EbioF_enzyme	8.127778015985041e-10
EbioA_enzyme	8.127778015985041e-10
EbioD_enzyme	8.127778015985041e-10
EbioB_enzyme	8.127778015985041e-10
EdhbC_enzyme	8.92700492644088e-09
EdhbB_enzyme	0.0
EdhbA_enzyme	0.0
EdhbEBF_enzyme	1.4320167851238174e-09
EbesA_enzyme	1.4320167851238174e-09
EsidX_enzyme	4.296050355371452e-09
EefeM_enzyme	4.2491566905923525e-09
EpgcA_enzyme	1.3961949643293083e-05
EgtaB_enzyme	3.027692857984089e-05
EglmS_enzyme	2.646509951672425e-06
EnagA_enzyme	0.0
EmurQ_enzyme	0.0
EnagB_enzyme	0.0
EglmM_enzyme	1.051587057357621e-05
EgcaD1_enzyme	3.0870391277122264e-06
EgcaD2_enzyme	3.0870391277122264e-06
EmurA_enzyme	2.90597081965166e-06
EmurB_enzyme	1.1832895398139547e-05
EmurC_enzyme	6.589667517733529e-06
EmurD_enzyme	1.8272827615240444e-06
EmurE_enzyme	2.3117905010401686e-06
EmurF_enzyme	4.254972174437712e-06
EmraY_enzyme	3.000822072577738e-06
EmurG_enzyme	6.373975071021833e-07
ErodA_enzyme	0
EgpsA1_enzyme	0.0
EgpsA2_enzyme	1.787576624342487e-05
EtagD_enzyme	4.954957236749691e-06
EmnaA_enzyme	4.751781701104404e-07
EtagO_enzyme	3.3879072628988995e-07
EtagA_enzyme	5.50792476234549e-07
EtagB_enzyme	3.3879072628988995e-07
EtagF_enzyme	1.3796829786382933e-06
EtagE_enzyme	5.245794309818833e-07
Edlt_enzyme	3.9601766194481675e-06
EtagGH_enzyme	4.814170945493895e-07
Eacc_enzyme	3.499578801147997e-07
Es14_enzyme	1.426627302843033e-09
Es16_enzyme	6.264754677702015e-09
Es18_enzyme	2.2950091393561836e-09
Ee14_enzyme	6.823000144031896e-10
Ee16_enzyme	2.9152818797227204e-09
Eo15_enzyme	1.2033291163110798e-08
Eo17_enzyme	4.776100100822328e-09
Ea15_enzyme	2.0344945884022383e-08
Ea17_enzyme	1.1288963874670958e-08
Ebcfa_enzyme	0
EacpA_enzyme	8.127778015985009e-10
EacpS_enzyme	8.127778015985009e-10
EplsX_enzyme	3.060724811752756e-08
EplsY_enzyme	3.060724811752756e-08
EplsC_enzyme	3.060724811752756e-08
EcdsA_enzyme	2.281477624718805e-08
EpssA_enzyme	1.6649161754643127e-08
Epsd_enzyme	1.6649161754643127e-08
EpgsA_enzyme	6.165614492544923e-09
EpX_enzyme	6.165614492544923e-09
EclsA_enzyme	1.3813052289512856e-10
Elpg_enzyme	6.563431588750217e-10
Edg0_enzyme	7.79247187033951e-09
EdagK_enzyme	0.0
EugtP1_enzyme	7.878469537711318e-09
EugtP2_enzyme	5.2986741297893666e-09
EugtP3_enzyme	1.9805909164982616e-09
Eatpm_enzyme	0
R_maintenance_atp_enzyme	0
