Enzyme	Concentration
R_ACKr_duplicate_3_enzyme	4.454899868627398e-06
R_ACLS_enzyme	2.2503098015026786e-06
R_ACLS_duplicate_2_enzyme	0.0
R_ACM6PH_enzyme	0.0
R_ACMAMUT_enzyme	0.0
R_ACMANAptspp_enzyme	0.0
R_ACMANAtex_enzyme	0.0
R_ACMANAtex_duplicate_2_enzyme	0.0
R_ACMANAtex_duplicate_3_enzyme	0.0
R_ACMANAtex_duplicate_4_enzyme	0.0
R_ACMUMptspp_enzyme	0.0
R_ACMUMtex_enzyme	0.0
R_ACMUMtex_duplicate_2_enzyme	0.0
R_ACMUMtex_duplicate_3_enzyme	0.0
R_ACMUMtex_duplicate_4_enzyme	0.0
R_ACNAMt2pp_enzyme	0.0
R_ACNAMtex_enzyme	0.0
R_ACNAMtex_duplicate_2_enzyme	0.0
R_ACNAMtex_duplicate_3_enzyme	0.0
R_ACNML_enzyme	0.0
R_ACOAD1f_enzyme	2.9096423506906507e-07
R_ACOAD2f_enzyme	2.9096423506906507e-07
R_ACOAD3f_enzyme	2.9096423506906507e-07
R_ACOAD4f_enzyme	2.9096423506906507e-07
R_ACOAD5f_enzyme	2.9096423506906507e-07
R_ACOAD6f_enzyme	2.909642350692495e-07
R_ACOAD7f_enzyme	2.9096423506938207e-07
R_ACOAD8f_enzyme	0.0
R_ACOATA_enzyme	0.0
R_ACODA_enzyme	1.6688936476840216e-06
R_ACOLIPAabctex_enzyme	0.0
R_ACONIs_enzyme	0.0
R_ACONMT_enzyme	0.0
R_ACONTa_enzyme	5.061745369016264e-06
R_ACONTa_duplicate_2_enzyme	0.0
R_ACONTb_enzyme	5.061745369016264e-06
R_ACONTb_duplicate_2_enzyme	0.0
R_ACOTA_enzyme	3.1176022593432007e-06
R_ACOTA_duplicate_2_enzyme	0.0
R_ACPPAT120_enzyme	0.0
R_ACPPAT140_enzyme	0.0
R_ACPPAT141_enzyme	0.0
R_ACPPAT160_enzyme	0.0
R_ACPPAT161_enzyme	0.0
R_ACPPAT180_enzyme	0.0
R_ACPPAT181_enzyme	0.0
R_ACPS1_enzyme	0.0
R_ACPS1_duplicate_2_enzyme	0.0
R_ACS_enzyme	0.0
R_ACSERtex_enzyme	0.0
R_ACSERtex_duplicate_2_enzyme	0.0
R_ACSERtex_duplicate_3_enzyme	0.0
R_ACSERtex_duplicate_4_enzyme	0.0
R_ACSERtpp_enzyme	0.0
R_ACSERtpp_duplicate_2_enzyme	0.0
R_ACt2rpp_enzyme	0
R_ACt4pp_enzyme	0.0
R_ACtex_enzyme	0.0
R_ACtex_duplicate_2_enzyme	0.0
R_ACtex_duplicate_3_enzyme	0.0
R_ACtex_duplicate_4_enzyme	6.0178671426592805e-06
R_ADA_enzyme	0.0
R_ADCL_enzyme	2.832064025423299e-08
R_ADCS_enzyme	1.4964012973380598e-07
R_ADD_enzyme	0.0
R_ADEt2rpp_enzyme	0.0
R_ADEt2rpp_duplicate_2_enzyme	0.0
R_ADEtex_enzyme	0.0
R_ADEtex_duplicate_2_enzyme	0.0
R_ADEtex_duplicate_3_enzyme	0.0
R_ADEtex_duplicate_4_enzyme	0.0
R_ADK1_enzyme	9.581933535218838e-08
R_ADK3_enzyme	5.835614636817465e-08
R_ADK4_enzyme	0.0
R_ADMDC_enzyme	8.095327421172991e-08
R_ADNCYC_enzyme	0.0
R_ADNK1_enzyme	0.0
R_ADNUC_enzyme	0.0
R_ADNt2pp_copy1_enzyme	0.0
R_ADNt2pp_copy1_duplicate_2_enzyme	0.0
R_ADNt2pp_copy2_enzyme	0.0
R_ADNtex_enzyme	0.0
R_ADOCBIK_enzyme	0.0
R_ADOCBLS_enzyme	0.0
R_ADOCBLabcpp_enzyme	0.0
R_ADOCBLtonex_enzyme	0.0
R_ADPRDP_enzyme	0.0
R_ADPRDP_duplicate_2_enzyme	0.0
R_ADPT_enzyme	8.188958521285791e-08
R_ADSK_enzyme	1.1633747245486425e-06
R_ADSL1r_enzyme	7.090932907084366e-07
R_ADSL2r_enzyme	4.679626922201235e-07
R_ADSS_enzyme	5.0351859846236946e-06
R_AGDC_enzyme	0.0
R_AGM3PA_enzyme	0.0
R_AGM3PApp_enzyme	0.0
