Enzyme	Concentration
R_AACPS7_enzyme	3.105972222222223e-07
R_AACPS8_enzyme	0.0
R_AACPS9_enzyme	0.0
R_AACTOOR_enzyme	0
R_AADDGT_enzyme	0.0
R_AAMYL_enzyme	0.0
R_AAMYLpp_enzyme	0.0
R_AB6PGH_enzyme	0.0
R_ABTA_enzyme	0.0
R_ABTA_duplicate_2_enzyme	4.9670905999959304e-05
R_ABUTD_enzyme	0.0
R_ABUTt2pp_enzyme	0.0
R_ABUTtex_enzyme	0.0
R_ABUTtex_duplicate_2_enzyme	0.0
R_ABUTtex_duplicate_3_enzyme	0.0
R_ABUTtex_duplicate_4_enzyme	0.0
R_ACACCT_enzyme	0.0
R_ACACT1r_enzyme	0.0
R_ACACT1r_duplicate_2_enzyme	1.4203245713975694e-06
R_ACACT1r_duplicate_3_enzyme	0.0
R_ACACT2r_enzyme	0.0
R_ACACT2r_duplicate_2_enzyme	1.4203245713975694e-06
R_ACACT3r_enzyme	0.0
R_ACACT3r_duplicate_2_enzyme	1.4203245713975694e-06
R_ACACT4r_enzyme	0.0
R_ACACT4r_duplicate_2_enzyme	1.4203245713975694e-06
R_ACACT5r_enzyme	0.0
R_ACACT5r_duplicate_2_enzyme	1.4203245713975694e-06
R_ACACT6r_enzyme	0.0
R_ACACT6r_duplicate_2_enzyme	1.1097273491753472e-06
R_ACACT7r_enzyme	0.0
R_ACACT7r_duplicate_2_enzyme	1.1097273491753472e-06
R_ACACT8r_enzyme	0.0
R_ACACT8r_duplicate_2_enzyme	0.0
R_ACACt2pp_enzyme	0.0
R_ACACtex_enzyme	0.0
R_ACACtex_duplicate_2_enzyme	0.0
R_ACACtex_duplicate_3_enzyme	0.0
R_ACACtex_duplicate_4_enzyme	0.0
R_ACALD_enzyme	4.715015382494158e-06
R_ACALD_duplicate_2_enzyme	0.0
R_ACALDtex_enzyme	0.0
R_ACALDtex_duplicate_2_enzyme	0.0
R_ACALDtex_duplicate_3_enzyme	0.0
R_ACALDtex_duplicate_4_enzyme	0.0
