Metabolite	Concentration	Type	Unit	Comment
M_arbtn_fe3	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gmp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_melib	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cd2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_no	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ala_B	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thymd	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_crn__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cynt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_no3	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_o2s	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_udpglcur	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acmana	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_15dap	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_4hoxpacd	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_duri	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_34dhpac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hxa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cpgn_un	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_for	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_rib__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tartr__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ocdca	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyc3p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_12ppd__S	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_12ppd__R	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fecrm	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dimp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_colipa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_etoh	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ade	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_aso3	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_succ	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ttdcea	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_xylu__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_4abut	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_h2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ag	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_udpacgal	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hdca	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cytd	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_skm	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_galct__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mal__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ala__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acgam1p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_din	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_xmp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_btn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_23camp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_urea	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_met__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_g6p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_3gmp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyclt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_h2s	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dtmp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gbbtn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_uri	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_octa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_3hpp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ttdca	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ser__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gthox	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_manglyc	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_minohp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gtp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_chol	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thym	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fuc__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_butso3	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glcur1p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
Temperature	37.0	Chemical species	mmol/L	Boundary metabolite from SBML
